City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sumenep,64.0,ID,11/02/19,78.0,-7.02,113.87,80.4,10.22
Roald,40.0,NO,11/02/19,77.0,62.58,6.12,41.0,26.4
Carutapera,58.0,BR,11/02/19,79.0,-1.2,-46.02,81.36,16.67
Coahuayana,0.0,MX,11/02/19,58.0,18.62,-100.35,86.31,1.72
Tuatapere,0.0,NZ,11/02/19,45.0,-46.13,167.69,66.38,6.2
Provideniya,0.0,RU,11/02/19,90.0,64.42,-173.23,17.49,1.63
Zaozerne,96.0,UA,11/02/19,83.0,51.37,23.94,43.79,10.94
Tasiilaq,75.0,GL,11/02/19,68.0,65.61,-37.64,30.2,11.41
Saint-Augustin,75.0,CA,11/02/19,60.0,45.63,-73.98,45.0,4.7
Navirai,0.0,BR,11/02/19,29.0,-23.07,-54.19,94.95,4.09
Marathon,90.0,CA,11/02/19,74.0,48.72,-86.38,33.8,5.82
Lavrentiya,67.0,RU,11/02/19,84.0,65.58,-170.99,24.26,5.93
Fortuna,1.0,US,11/02/19,34.0,40.6,-124.16,68.0,4.7
Port Said,16.0,EG,11/02/19,24.0,25.34,30.55,71.8,3.6
Yeppoon,90.0,AU,11/02/19,83.0,-23.13,150.74,71.6,6.46
Beringovskiy,100.0,RU,11/02/19,89.0,63.05,179.32,28.26,5.3
Puerto Santander,40.0,VE,11/02/19,58.0,8.35,-72.41,87.8,11.41
Tyup,88.0,KG,11/02/19,65.0,42.73,78.36,38.03,2.1
Port Elizabeth,1.0,US,11/02/19,46.0,39.31,-74.98,57.0,5.73
Plastun,0.0,RU,11/02/19,61.0,44.76,136.29,24.8,12.44
Morant Bay,40.0,JM,11/02/19,74.0,17.88,-76.41,86.0,17.22
Kavieng,100.0,PG,11/02/19,75.0,-2.57,150.8,83.21,10.76
Kanniyakumari,86.0,IN,11/02/19,79.0,8.08,77.57,80.6,13.49
Gotsu,100.0,JP,11/02/19,72.0,35.01,132.22,65.25,10.13
Nieuw Amsterdam,20.0,SR,11/02/19,59.0,5.88,-55.08,90.0,9.17
Cidreira,98.0,BR,11/02/19,93.0,-30.17,-50.22,70.66,6.24
Newport,75.0,GB,11/02/19,93.0,51.59,-3.0,51.01,20.8
San Vicente,75.0,EC,11/02/19,83.0,-0.59,-80.41,77.0,13.87
Fecamp,75.0,FR,11/02/19,76.0,49.76,0.37,51.8,20.8
Santiago,100.0,PH,11/02/19,98.0,16.69,121.54,71.89,0.81
Haines Junction,100.0,CA,11/02/19,99.0,60.75,-137.51,32.0,4.38
Bubaque,89.0,GW,11/02/19,73.0,11.28,-15.83,82.72,11.72
Asind,0.0,IN,11/02/19,77.0,25.73,74.33,72.59,8.79
Nanortalik,0.0,GL,11/02/19,67.0,60.14,-45.24,32.94,10.2
Poum,90.0,MK,11/02/19,71.0,41.28,20.71,57.2,8.05
Moses Lake,1.0,US,11/02/19,39.0,47.13,-119.28,48.2,2.33
Mersing,97.0,MY,11/02/19,79.0,2.43,103.84,81.01,9.06
Valdivia,0.0,CL,11/02/19,45.0,-39.81,-73.25,61.45,5.26
Ketchikan,90.0,US,11/02/19,100.0,55.34,-131.65,51.8,9.17
Payo,92.0,ID,11/02/19,66.0,-3.75,103.64,65.26,4.41
Fort Saint James,99.0,CA,11/02/19,83.0,54.43,-124.25,43.32,3.0
Port Lincoln,13.0,AU,11/02/19,82.0,-34.72,135.86,53.44,8.84
Ulaangom,79.0,MN,11/02/19,74.0,49.98,92.07,33.73,3.98
Ushtobe,90.0,KZ,11/02/19,90.0,45.25,77.98,46.99,5.23
Poso,71.0,ID,11/02/19,85.0,-1.4,120.75,66.45,4.43
Vila Do Maio,0.0,CV,11/02/19,69.0,15.13,-23.22,80.6,17.22
Matara,15.0,BI,11/02/19,81.0,-3.48,29.48,57.88,3.94
Tautira,75.0,PF,11/02/19,74.0,-17.73,-149.15,84.2,19.46
Siyabuswa,62.0,ZA,11/02/19,31.0,-25.11,29.06,77.47,3.47
Rio Gallegos,100.0,AR,11/02/19,27.0,-51.62,-69.22,62.6,23.04
Karaton,20.0,ID,11/02/19,78.0,-6.34,106.1,77.0,8.05
Moron,70.0,HT,11/02/19,72.0,18.56,-74.26,81.07,0.94
Kalanchak,100.0,UA,11/02/19,69.0,46.26,33.28,37.99,10.92
Kabalo,85.0,CD,11/02/19,85.0,-6.05,26.92,70.83,4.0
Batemans Bay,99.0,AU,11/02/19,92.0,-35.71,150.18,63.0,4.0
Mgandu,49.0,TZ,11/02/19,59.0,-5.96,34.11,67.3,11.88
Waiouru,0.0,NZ,11/02/19,36.0,-39.48,175.67,72.57,3.2
San Quintin,91.0,PH,11/02/19,88.0,17.54,120.52,73.47,3.47
Algodones,40.0,MX,11/02/19,66.0,20.39,-105.48,86.0,10.29
Chernoyerkovskaya,0.0,RU,11/02/19,79.0,45.43,37.76,30.0,6.71
Tabuk,31.0,PH,11/02/19,93.0,17.41,121.44,72.59,1.54
Boda,59.0,CF,11/02/19,90.0,4.32,17.47,71.78,1.07
Iberia,82.0,PE,11/02/19,47.0,-11.41,-69.49,88.74,5.06
Tres Picos,0.0,MX,11/02/19,60.0,16.23,-93.58,80.02,6.24
Tezu,0.0,IN,11/02/19,58.0,27.93,96.16,65.19,2.84
Puerto Escondido,40.0,MX,11/02/19,59.0,15.86,-97.07,89.6,6.93
Bacabal,100.0,BR,11/02/19,73.0,-4.23,-44.78,81.23,5.84
Lake Cowichan,75.0,CA,11/02/19,76.0,48.82,-124.05,54.0,2.24
Moree,75.0,AU,11/02/19,64.0,-29.46,149.84,68.0,14.99
Penukonda,75.0,IN,11/02/19,83.0,14.08,77.6,72.41,3.47
Faya,1.0,SA,11/02/19,68.0,18.39,42.45,64.4,3.36
Yucca Valley,1.0,US,11/02/19,3.0,34.12,-116.41,84.2,3.02
Puerto Colombia,75.0,CO,11/02/19,74.0,10.99,-74.96,86.0,9.17
Chuzhou,51.0,CN,11/02/19,78.0,32.25,118.33,63.0,1.01
Christchurch,0.0,NZ,11/02/19,64.0,-43.53,172.64,80.01,1.12
Koshurnikovo,100.0,RU,11/02/19,92.0,54.3,93.39,26.17,2.77
Olinda,89.0,AU,11/02/19,93.0,-37.84,145.39,59.0,4.7
Varna,0.0,BG,11/02/19,76.0,43.22,27.9,48.2,3.36
Otjimbingwe,0.0,NA,11/02/19,20.0,-22.35,16.13,74.55,4.47
Mamit,6.0,IN,11/02/19,97.0,23.92,92.49,66.4,1.92
Ugoofaaru,41.0,MV,11/02/19,66.0,5.67,73.0,82.87,3.51
Praia,75.0,BR,11/02/19,54.0,-20.25,-43.81,80.6,9.17
Tooele,1.0,US,11/02/19,39.0,40.53,-112.3,52.0,3.27
Taksimo,93.0,RU,11/02/19,94.0,56.36,114.84,4.39,2.01
Port Blair,0.0,IN,11/02/19,72.0,11.67,92.75,82.26,5.77
Shimoda,73.0,JP,11/02/19,93.0,34.7,138.93,57.99,10.65
Salinopolis,29.0,BR,11/02/19,81.0,-0.61,-47.36,81.28,18.68
Constitucion,75.0,MX,11/02/19,29.0,23.99,-104.67,77.0,6.93
Barabai,100.0,ID,11/02/19,97.0,-2.59,115.38,71.35,1.48
Zheleznodorozhnyy,40.0,RU,11/02/19,91.0,55.75,38.0,37.99,6.71
Saldanha,100.0,PT,11/02/19,83.0,41.42,-6.55,53.38,18.7
Karatau,100.0,KZ,11/02/19,59.0,43.18,70.46,46.0,1.01
Storm Lake,2.0,US,11/02/19,52.0,42.64,-95.21,48.2,16.11
Prattville,1.0,US,11/02/19,27.0,32.46,-86.46,64.4,9.17
Mekhe,5.0,SN,11/02/19,54.0,15.11,-16.62,80.6,9.17
Shelburne,90.0,CA,11/02/19,77.0,44.08,-80.2,44.01,10.29
Verkhnyaya Inta,0.0,RU,11/02/19,89.0,65.99,60.32,4.39,5.17
Novobirilyussy,89.0,RU,11/02/19,70.0,56.95,90.69,26.35,8.55
San Miguel,64.0,AR,11/02/19,44.0,-34.54,-58.72,80.01,9.17
Charters Towers,5.0,AU,11/02/19,77.0,-20.07,146.27,71.04,10.58
Faanui,38.0,PF,11/02/19,78.0,-16.48,-151.75,81.07,11.1
Burnie,10.0,AU,11/02/19,99.0,-41.05,145.91,57.0,1.01
Alice Springs,40.0,AU,11/02/19,41.0,-23.7,133.88,75.2,21.92
General Roca,0.0,AR,11/02/19,8.0,-39.03,-67.58,75.2,9.17
Rize,75.0,TR,11/02/19,76.0,41.02,40.52,51.8,6.93
Uray,98.0,RU,11/02/19,93.0,60.13,64.8,21.09,7.02
Daru,93.0,PG,11/02/19,80.0,-9.07,143.21,77.47,7.52
Santa Rosa De Viterbo,40.0,BR,11/02/19,35.0,-21.49,-47.37,89.6,5.82
Ocos,40.0,GT,11/02/19,55.0,14.51,-92.19,89.6,9.17
Teya,75.0,MX,11/02/19,74.0,21.05,-89.07,84.2,11.41
Isangel,75.0,VU,11/02/19,83.0,-19.55,169.27,75.2,22.03
Iglesias,100.0,ES,11/02/19,76.0,42.3,-3.99,55.99,23.04
Dogondoutchi,19.0,NE,11/02/19,20.0,13.64,4.03,85.69,5.61
Alyangula,100.0,AU,11/02/19,100.0,-13.85,136.42,71.6,3.33
Campbellsville,40.0,US,11/02/19,59.0,37.34,-85.34,57.0,5.82
Hamilton,75.0,CA,11/02/19,86.0,43.26,-79.87,45.0,8.05
Eyl,16.0,SO,11/02/19,80.0,7.98,49.82,82.35,4.41
Waipawa,0.0,NZ,11/02/19,59.0,-39.94,176.59,72.28,2.1
Kamenka,100.0,MD,11/02/19,77.0,48.03,28.7,46.99,5.99
Kuala Terengganu,75.0,MY,11/02/19,94.0,5.33,103.14,75.2,4.7
Areosa,90.0,PT,11/02/19,87.0,41.72,-8.86,64.0,13.87
Noumea,40.0,NC,11/02/19,68.0,-22.28,166.46,75.0,3.36
Neryungri,30.0,RU,11/02/19,58.0,56.66,124.71,2.75,2.75
Rabak,0.0,SD,11/02/19,20.0,13.18,32.74,90.36,6.4
Sorland,100.0,NO,11/02/19,67.0,67.67,12.69,40.24,21.72
Samarai,100.0,PG,11/02/19,90.0,-10.62,150.67,76.39,4.99
Ucar,20.0,AZ,11/02/19,80.0,40.51,47.65,39.2,5.82
Campos,90.0,PT,11/02/19,87.0,41.97,-8.7,64.0,13.87
Kidal,72.0,ML,11/02/19,12.0,18.44,1.41,84.99,9.01
Buchanan,75.0,LR,11/02/19,94.0,5.88,-10.05,73.4,3.69
Barahona,40.0,DO,11/02/19,66.0,18.21,-71.1,87.8,18.34
Nurota,100.0,UZ,11/02/19,87.0,40.56,65.69,51.8,9.17
Homer,90.0,US,11/02/19,93.0,59.64,-151.54,42.8,0.87
Kensington,40.0,CA,11/02/19,65.0,46.44,-63.64,44.01,5.82
Breyten,3.0,ZA,11/02/19,58.0,-26.3,29.99,59.56,5.17
Kazachinskoye,99.0,RU,11/02/19,73.0,57.69,93.28,25.84,7.56
Port-Cartier,75.0,CA,11/02/19,59.0,50.03,-66.88,37.4,4.7
Sobolevo,100.0,RU,11/02/19,66.0,54.43,31.9,37.98,19.57
Choma,15.0,ZM,11/02/19,44.0,-16.81,26.98,70.63,5.91
Duku,67.0,ID,11/02/19,90.0,-1.19,100.47,64.17,2.15
Komsomolskiy,100.0,RU,11/02/19,95.0,67.55,63.78,7.57,9.93
Umea,90.0,SE,11/02/19,100.0,63.83,20.26,30.2,1.12
Indian Head,100.0,CA,11/02/19,66.0,50.53,-103.67,37.0,7.65
Bayji,0.0,IQ,11/02/19,48.0,34.93,43.49,68.27,5.26
Black River,20.0,JM,11/02/19,70.0,18.03,-77.85,86.0,11.41
Kang,89.0,BW,11/02/19,46.0,-23.67,22.79,76.28,6.4
Garissa,0.0,KE,11/02/19,69.0,-0.46,39.64,77.76,17.29
Grindavik,100.0,IS,11/02/19,80.0,63.84,-22.43,39.2,9.17
Ternate,20.0,PH,11/02/19,83.0,14.29,120.72,80.6,3.36
Saint-Pierre,75.0,FR,11/02/19,93.0,48.95,4.24,52.0,19.46
Tsagan Aman,0.0,RU,11/02/19,52.0,47.57,46.72,26.89,3.65
Akdepe,26.0,TM,11/02/19,42.0,42.05,59.39,48.2,11.41
Melo,100.0,UY,11/02/19,92.0,-32.37,-54.17,70.41,8.23
Shingu,33.0,JP,11/02/19,74.0,33.72,135.99,63.63,5.21
Aldan,39.0,RU,11/02/19,47.0,58.61,125.39,12.27,13.71
Aanekoski,90.0,FI,11/02/19,100.0,62.6,25.73,36.0,6.93
Xam Nua,80.0,LA,11/02/19,99.0,20.42,104.04,61.47,1.41
Coihaique,75.0,CL,11/02/19,54.0,-45.58,-72.07,53.6,5.82
Copiapo,40.0,CL,11/02/19,67.0,-27.37,-70.33,62.6,11.41
Campo Largo,20.0,BR,11/02/19,65.0,-25.46,-49.53,84.99,8.05
Khanpur,0.0,PK,11/02/19,44.0,28.65,70.66,74.57,8.01
Kajaani,90.0,FI,11/02/19,98.0,64.22,27.73,32.0,12.75
Ponta Do Sol,37.0,BR,11/02/19,82.0,-20.63,-46.0,72.21,3.85
Teguise,20.0,ES,11/02/19,73.0,29.06,-13.56,75.2,12.75
Calvinia,0.0,ZA,11/02/19,28.0,-31.47,19.78,58.91,7.49
Santa Isabel Do Rio Negro,100.0,BR,11/02/19,97.0,-0.41,-65.02,75.02,1.92
Gizo,0.0,IL,11/02/19,68.0,31.8,34.94,71.6,5.82
Kaseda,92.0,JP,11/02/19,80.0,31.42,130.32,61.88,3.78
Eureka,1.0,US,11/02/19,48.0,40.8,-124.16,68.0,5.82
Crixas,100.0,BR,11/02/19,43.0,-14.55,-49.97,86.52,1.61
Coquimbo,95.0,CL,11/02/19,67.0,-29.95,-71.34,62.6,14.99
Sibolga,100.0,ID,11/02/19,98.0,1.74,98.78,69.51,1.66
Onega,99.0,RU,11/02/19,83.0,63.91,38.09,25.83,18.5
Santa Ana,100.0,MX,11/02/19,22.0,30.54,-111.12,86.0,1.01
Inta,0.0,RU,11/02/19,92.0,66.04,60.13,4.62,6.42
Marovoay,40.0,MG,11/02/19,74.0,-16.11,46.64,82.4,9.17
Altagracia De Orituco,93.0,VE,11/02/19,95.0,9.86,-66.38,74.89,2.24
Aswan,5.0,EG,11/02/19,27.0,24.09,32.9,72.63,7.14
Camargo,100.0,MX,11/02/19,33.0,27.69,-105.17,72.9,5.01
Belaya Gora,100.0,RU,11/02/19,96.0,68.54,146.19,2.95,5.1
San Cristobal,46.0,HN,11/02/19,76.0,14.68,-86.92,75.92,6.78
Gopalur,0.0,IN,11/02/19,90.0,16.62,77.8,72.52,5.61
Awbari,0.0,LY,11/02/19,31.0,26.59,12.77,73.6,6.2
Sorong,94.0,ID,11/02/19,99.0,-0.86,131.25,71.94,1.83
Guerrero Negro,100.0,MX,11/02/19,14.0,27.97,-114.04,85.24,5.99
Gidam,0.0,IN,11/02/19,84.0,18.98,81.4,65.79,2.1
Monrovia,75.0,LR,11/02/19,94.0,6.33,-10.8,73.4,2.77
Castrillon,40.0,ES,11/02/19,63.0,43.4,-6.79,60.8,21.92
Hunterville,0.0,NZ,11/02/19,71.0,-39.94,175.57,62.01,3.0
Harper,1.0,US,11/02/19,23.0,30.3,-99.24,70.0,5.82
Bongandanga,100.0,CD,11/02/19,95.0,1.51,21.07,70.84,0.31
Basoko,100.0,CD,11/02/19,95.0,1.23,23.61,70.47,1.1
Lumajang,100.0,ID,11/02/19,96.0,-8.14,113.22,61.41,2.48
Baherden,0.0,TM,11/02/19,46.0,38.44,57.43,59.27,4.54
Kulhudhuffushi,40.0,MV,11/02/19,66.0,6.62,73.07,82.4,1.61
Sarkand,100.0,KZ,11/02/19,93.0,45.41,79.91,46.18,3.91
Kalamare,64.0,BW,11/02/19,59.0,-22.93,26.57,69.55,4.05
Aripuana,100.0,BR,11/02/19,97.0,-9.17,-60.63,72.9,5.08
Sisimiut,61.0,GL,11/02/19,62.0,66.94,-53.67,20.41,4.52
Lagos,75.0,NG,11/02/19,94.0,6.46,3.39,75.2,4.7
Phek,2.0,IN,11/02/19,97.0,25.7,94.46,53.91,1.39
Ahipara,100.0,NZ,11/02/19,93.0,-35.17,173.16,66.0,11.61
Salsk,0.0,RU,11/02/19,53.0,46.48,41.54,28.2,5.82
Yining,81.0,CN,11/02/19,80.0,29.04,114.56,57.67,2.21
Tawang,0.0,BT,11/02/19,87.0,27.59,91.87,31.87,4.59
Nieuw Nickerie,18.0,SR,11/02/19,77.0,5.94,-56.99,82.27,12.03
Ostersund,92.0,SE,11/02/19,93.0,63.18,14.64,32.0,3.36
Altay,100.0,CN,11/02/19,81.0,47.83,88.13,38.37,4.85
Bijie,0.0,CN,11/02/19,95.0,27.3,105.3,47.44,1.23
Show Low,1.0,US,11/02/19,9.0,34.25,-110.03,68.0,3.36
Labuhan,100.0,ID,11/02/19,97.0,-2.54,115.51,71.35,1.48
Abu Dhabi,0.0,AE,11/02/19,58.0,24.47,54.37,82.4,5.82
Ventspils,90.0,LV,11/02/19,100.0,57.39,21.56,42.8,10.29
The Pas,90.0,CA,11/02/19,86.0,53.82,-101.24,33.8,3.36
Stephenville,40.0,CA,11/02/19,80.0,48.55,-58.59,39.2,6.93
Mamallapuram,40.0,IN,11/02/19,88.0,12.63,80.17,82.0,6.02
Sarankhola,0.0,BD,11/02/19,86.0,22.31,89.79,71.06,5.66
Gimli,68.0,CA,11/02/19,78.0,50.63,-96.99,35.01,5.99
Coolum Beach,5.0,AU,11/02/19,87.0,-26.53,153.09,70.0,1.01
Mitsamiouli,31.0,KM,11/02/19,77.0,-11.38,43.28,79.7,4.85
Harbour Breton,0.0,CA,11/02/19,2.0,47.48,-55.8,46.0,5.01
Peniche,20.0,PT,11/02/19,88.0,39.36,-9.38,64.0,9.17
Peleduy,100.0,RU,11/02/19,91.0,59.63,112.75,32.65,10.87
Acari,39.0,BR,11/02/19,54.0,-6.44,-36.64,79.86,27.22
Shetpe,100.0,KZ,11/02/19,94.0,44.14,52.16,34.83,24.18
Ingham,70.0,AU,11/02/19,86.0,-18.65,146.16,71.67,0.76
Thayetmyo,23.0,MM,11/02/19,92.0,19.32,95.18,72.52,3.31
Springbok,3.0,ZA,11/02/19,26.0,-29.67,17.88,61.61,8.14
Marzuq,99.0,YE,11/02/19,44.0,14.4,46.47,68.79,1.97
Shubarkuduk,100.0,KZ,11/02/19,60.0,49.15,56.49,31.69,7.94
Pitimbu,20.0,BR,11/02/19,69.0,-7.47,-34.81,80.6,12.75
Glinishchevo,100.0,RU,11/02/19,67.0,53.3,34.07,37.24,13.91
Bow Island,90.0,CA,11/02/19,47.0,49.87,-111.38,46.99,9.17
Ahmadpur East,0.0,PK,11/02/19,44.0,29.14,71.26,74.57,10.8
Hervey Bay,0.0,AU,11/02/19,94.0,-25.3,152.85,73.99,5.82
Moussoro,25.0,TD,11/02/19,15.0,13.64,16.49,89.4,8.59
Kaoma,63.0,ZM,11/02/19,34.0,-14.8,24.8,76.73,2.24
Tilichiki,92.0,RU,11/02/19,94.0,60.47,166.1,23.83,7.58
Kloulklubed,90.0,PW,11/02/19,94.0,7.04,134.26,78.8,6.93
San Lorenzo,2.0,HN,11/02/19,53.0,13.43,-87.45,95.0,2.24
Fort Frances,90.0,CA,11/02/19,60.0,48.61,-93.4,32.0,9.17
Taldan,0.0,RU,11/02/19,80.0,53.69,124.82,13.14,5.86
San Rafael,0.0,AR,11/02/19,14.0,-34.61,-68.33,70.54,10.69
Namibe,39.0,AO,11/02/19,80.0,-15.19,12.15,72.75,0.74
Jimo,1.0,CN,11/02/19,87.0,36.39,120.46,55.4,4.47
Westport,1.0,US,11/02/19,61.0,41.14,-73.36,54.0,5.82
Deputatskiy,0.0,RU,11/02/19,98.0,69.3,139.9,-6.38,2.86
Quatre Cocos,75.0,MU,11/02/19,78.0,-20.21,57.76,73.4,12.75
Narsaq,20.0,GL,11/02/19,58.0,60.91,-46.05,30.2,3.36
Baracoa,35.0,CU,11/02/19,72.0,20.35,-74.5,81.61,7.96
Keti Bandar,0.0,PK,11/02/19,68.0,24.14,67.45,83.43,4.79
Baiao,38.0,BR,11/02/19,45.0,-2.79,-49.67,88.39,1.14
La Reforma,20.0,MX,11/02/19,36.0,25.08,-108.06,95.0,5.82
Paita,99.0,PE,11/02/19,100.0,-5.09,-81.11,62.6,14.99
Cantanhede,100.0,BR,11/02/19,80.0,-3.64,-44.38,79.39,5.26
Nichinan,92.0,JP,11/02/19,76.0,31.65,131.31,69.46,2.55
Esmeraldas,75.0,BR,11/02/19,57.0,-19.76,-44.31,80.6,9.17
Tunceli,0.0,TR,11/02/19,74.0,39.11,39.55,37.4,8.05
Antofagasta,38.0,CL,11/02/19,67.0,-23.65,-70.4,62.6,12.75
Chapleau,75.0,CA,11/02/19,80.0,47.85,-83.4,35.6,4.7
Izazi,5.0,TZ,11/02/19,64.0,-7.24,35.72,68.0,4.7
Kayerkan,100.0,RU,11/02/19,76.0,69.35,87.76,-11.21,8.95
Yakima,1.0,US,11/02/19,34.0,46.6,-120.51,51.01,2.53
Zemen,76.0,BG,11/02/19,93.0,42.48,22.75,41.0,13.87
Yatou,40.0,CM,11/02/19,94.0,3.63,9.81,78.8,2.24
Manakara,40.0,MG,11/02/19,88.0,-22.14,48.01,68.29,3.09
Rafaela,98.0,AR,11/02/19,67.0,-31.25,-61.49,82.99,4.0
Dodola,0.0,BF,11/02/19,57.0,10.12,-3.28,79.02,2.71
Barrhead,75.0,CA,11/02/19,81.0,54.12,-114.4,44.6,9.17
Kralendijk,40.0,BQ,11/02/19,66.0,12.15,-68.27,87.8,10.29
Uaua,100.0,BR,11/02/19,28.0,-9.84,-39.48,84.99,9.8
Sitka,0.0,US,11/02/19,28.0,37.17,-99.65,57.0,20.0
Bose,75.0,IT,11/02/19,87.0,45.46,8.01,53.01,1.12
Ypsonas,100.0,CY,11/02/19,77.0,34.69,32.96,66.2,4.7
Rio Grande City,40.0,US,11/02/19,30.0,26.38,-98.82,80.6,12.75
Greymouth,0.0,NZ,11/02/19,80.0,-42.45,171.21,53.8,1.05
Burley,1.0,US,11/02/19,24.0,42.54,-113.79,48.2,3.36
Sakata,100.0,JP,11/02/19,85.0,38.92,139.93,43.75,1.88
Tucurui,57.0,BR,11/02/19,52.0,-3.77,-49.67,87.76,2.64
Rehli,100.0,IN,11/02/19,84.0,23.64,79.06,71.92,3.36
Port Macquarie,0.0,AU,11/02/19,72.0,-31.43,152.91,66.99,8.05
Nunoa,70.0,PE,11/02/19,32.0,-14.48,-70.64,58.24,11.83
Atchison,1.0,US,11/02/19,32.0,39.56,-95.12,53.01,9.17
Bosaso,94.0,SO,11/02/19,68.0,11.28,49.18,84.45,6.31
Chikhli,74.0,IN,11/02/19,88.0,20.76,73.06,75.42,2.37
San Jose,13.0,HN,11/02/19,77.0,14.25,-87.96,74.7,3.62
